,data_file,sample_notes,AC Samples,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tetrahydroalstonine,Amt_ug_L_Tryptamine,Amt_ug_L_Tryptophan,Unnamed: 10,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tetrahydroalstonine,Amt_uM_Tryptamine,Amt_uM_Tryptophan
18,210330_TMET494_053.xms,96WP988_P1_C10,6_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,6833.338,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,42.64971914,N.A.
19,210330_TMET494_054.xms,96WP988_P1_C11,6_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7203.026,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,44.95709649,N.A.
20,210330_TMET494_058.xms,96WP988_P1_D2,6_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7099.769,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,44.31262639,N.A.
21,210330_TMET494_059.xms,96WP988_P1_D3,7_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8730.701,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,54.49195481,N.A.
22,210330_TMET494_060.xms,96WP988_P1_D4,7_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7033.75,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,43.90057421,N.A.
23,210330_TMET494_061.xms,96WP988_P1_D5,7_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7410.142,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,46.24979403,N.A.
24,210330_TMET494_062.xms,96WP988_P1_D6,8_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7497.969,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,46.79795906,N.A.
25,210330_TMET494_063.xms,96WP988_P1_D7,8_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8640.969,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,53.93189989,N.A.
26,210330_TMET494_064.xms,96WP988_P1_D8,8_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8058.682,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,50.2976033,N.A.
27,210330_TMET494_065.xms,96WP988_P1_D9,9_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,9370.262,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,58.48372238,N.A.
28,210330_TMET494_066.xms,96WP988_P1_D10,9_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7713.572,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,48.14362751,N.A.
29,210330_TMET494_067.xms,96WP988_P1_D11,9_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8099.895,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,50.55483086,N.A.
30,210330_TMET494_084.xms,96WP988_P1_E2,10_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8324.961,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,51.95956185,N.A.
31,210330_TMET494_085.xms,96WP988_P1_E3,10_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7543.866,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,47.08442142,N.A.
32,210330_TMET494_086.xms,96WP988_P1_E4,10_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7436.196,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,46.41240794,N.A.
33,210330_TMET494_087.xms,96WP988_P1_E5,11_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,9311.901,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,58.11946698,N.A.
34,210330_TMET494_088.xms,96WP988_P1_E6,11_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8843.704,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,55.19725378,N.A.
35,210330_TMET494_089.xms,96WP988_P1_E7,11_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7556.861,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,47.16552865,N.A.
36,210330_TMET494_090.xms,96WP988_P1_E8,12_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7827.868,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,48.85699663,N.A.
37,210330_TMET494_091.xms,96WP988_P1_E9,12_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8461.146,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,52.80954937,N.A.
38,210330_TMET494_092.xms,96WP988_P1_E10,12_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,3817.154,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,23.82445388,N.A.
39,210330_TMET494_093.xms,96WP988_P1_E11,13_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7952.625,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,49.63565722,N.A.
40,210330_TMET494_097.xms,96WP988_P1_F2,13_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8340.617,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,52.05727749,N.A.
41,210330_TMET494_098.xms,96WP988_P1_F3,13_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7789.402,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,48.61691424,N.A.
42,210330_TMET494_099.xms,96WP988_P1_F4,14_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,7928.771,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,49.48677444,N.A.
43,210330_TMET494_100.xms,96WP988_P1_F5,14_2_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8069.376,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,50.36434902,N.A.
44,210330_TMET494_101.xms,96WP988_P1_F6,14_3_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,8520.634,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,53.18083885,N.A.
45,210330_TMET494_102.xms,96WP988_P1_F7,15_1_YPD,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.A.
